,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,3.022,2.430,3.383,2.778,-6.0
0,4.637,3.585,5.502,4.895,-19.019550008653876
0,5.049,3.677,6.546,5.091,-5.0
0,2.429,1.761,3.969,3.361,-4.754887502163469
0,2.798,2.087,3.442,2.807,-3.1699250014423126
0,0.891,0.190,0.920,0.399,20.756589711823786
0,5.359,2.143,6.723,3.420,-2.0
0,2.189,1.186,3.673,3.021,-7.924812503605781
0,2.328,1.369,2.923,2.305,3.0
0,4.272,2.026,5.668,3.275,-5.614709844115208
0,0.707,0.269,1.612,1.384,12.0
0,1.487,0.816,1.963,1.372,6.0
0,3.911,2.519,4.579,3.663,-2.0
0,2.412,1.745,2.988,2.645,-4.754887502163469
0,1.828,0.917,1.936,1.117,10.339850002884624
0,6.760,5.780,11.675,11.332,-12.92481250360578
0,3.906,2.365,4.634,3.516,-16.844129532345626
0,0.539,0.209,0.817,0.535,3.0
0,4.963,3.209,7.837,5.928,-19.931568569324178
0,3.347,1.964,3.732,2.501,-4.0
0,1.942,0.218,2.192,0.609,-2.0
0,4.090,2.848,6.160,4.479,-4.0
0,3.724,2.039,4.080,2.527,-8.0
0,0.955,0.167,1.035,0.642,16.253496664211536
0,1.810,0.839,2.741,1.827,-4.754887502163469
0,1.522,1.209,1.690,1.341,5.0
0,7.086,4.929,14.329,13.456,-6.0
0,1.412,0.871,1.643,1.262,3.0
0,5.213,2.373,5.571,3.237,-8.0
0,4.707,2.393,6.623,4.063,-10.0
0,0.930,0.402,1.569,1.421,0.0
0,0.909,0.176,0.968,0.382,20.756589711823786
0,3.087,1.592,3.806,2.873,-9.509775004326938
0,1.968,0.607,2.875,2.093,-6.0
0,2.200,0.839,3.444,1.844,-4.0
0,2.689,1.431,3.151,2.099,-4.754887502163469
0,4.671,2.945,6.673,5.125,-4.0
0,2.257,1.050,2.660,1.622,-1.0
0,3.765,2.681,8.235,8.532,-27.675452949098382
0,1.959,0.843,2.152,1.280,-3.0
0,4.832,3.041,6.310,4.899,-1.0
0,4.051,1.769,4.407,2.540,-8.0
0,2.308,1.415,3.543,3.147,-7.924812503605781
0,4.778,4.013,7.616,7.696,-22.18947501009619
0,9.138,7.888,16.089,16.049,-28.0
0,2.394,1.428,3.086,2.262,-10.339850002884624
0,3.274,1.266,4.470,1.822,4.0
0,1.346,0.330,1.414,0.533,7.0
0,5.415,3.917,6.896,5.633,-8.0
0,5.137,2.703,5.653,3.659,-11.60964047443681
0,3.731,2.199,3.941,2.761,-7.924812503605781
0,4.477,2.696,6.690,4.426,-15.0
0,5.004,3.674,6.052,5.734,-5.0
0,4.438,3.152,4.842,4.049,-12.0
0,2.972,1.407,3.848,3.178,-4.0
0,1.967,1.198,2.183,1.572,5.0
0,4.892,2.960,5.077,3.348,-9.509775004326938
0,1.745,1.227,2.407,2.013,-4.754887502163469
0,3.911,2.619,6.397,4.382,-6.339850002884625
0,3.635,2.033,3.864,2.709,-8.0
0,4.472,2.698,7.679,5.361,-4.754887502163469
0,1.337,0.351,1.539,1.087,-13.931568569324174
0,7.814,6.593,10.257,9.536,-11.60964047443681
0,1.170,0.457,2.149,2.107,-10.75488750216347
0,2.631,2.455,3.170,3.507,7.924812503605781
0,4.148,2.781,6.870,5.634,-19.931568569324178
0,4.911,4.055,10.229,9.137,-5.0
0,3.655,1.748,6.183,5.856,-6.0
0,2.038,0.442,2.154,1.221,-8.422064766172813
0,4.176,2.962,8.390,8.116,-1.5849625007211563
0,4.621,2.155,6.975,4.994,-4.0
0,3.029,2.439,3.212,2.788,-12.92481250360578
0,5.772,3.222,11.959,10.473,-6.0
0,1.573,1.347,2.254,2.102,7.924812503605781
0,1.545,0.662,1.677,0.807,-7.924812503605781
