,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,1.287,0.307,1.362,0.458,4.0
0,4.871,2.856,5.167,3.442,-36.18947501009619
0,3.814,1.927,6.580,4.852,-39.302968908806456
0,4.039,2.142,4.660,3.038,-6.0
0,3.888,2.684,4.288,4.012,9.287712379549449
0,4.949,2.448,5.498,3.428,-12.0
0,4.909,2.192,5.752,4.452,0.0
0,3.191,1.793,4.043,3.128,-14.0
0,0.761,0.359,0.848,0.576,4.0
0,3.347,2.318,4.369,3.177,-11.094737505048094
0,5.938,3.859,6.431,5.030,-15.849625007211563
0,5.660,4.245,9.182,9.208,-23.774437510817343
0,1.836,1.071,3.048,2.822,-23.21928094887362
0,4.719,3.203,5.647,4.626,-23.774437510817343
0,5.620,4.150,7.533,7.095,-39.302968908806456
0,7.104,4.882,14.356,13.445,-41.3594000115385
0,1.336,0.328,1.417,0.560,4.0
0,3.716,2.142,4.172,2.857,-11.094737505048094
0,3.891,1.917,4.046,3.101,-4.0
0,5.947,3.467,10.757,10.849,-15.0
0,4.727,2.783,6.069,4.530,-28.43458750793272
0,2.761,1.481,3.095,2.057,7.924812503605781
0,4.380,1.414,4.776,1.934,-16.253496664211536
0,8.368,6.489,11.582,9.605,-25.3594000115385
0,0.953,0.252,1.142,0.564,16.0
0,2.436,1.031,3.106,1.812,-31.019550008653873
0,5.610,2.554,9.094,7.836,-12.0
0,2.231,1.190,2.515,1.578,-18.575424759098897
0,3.577,2.272,3.894,2.728,-13.0
0,2.267,1.486,3.864,2.686,-2.0
0,3.080,1.814,4.705,3.357,-22.0
0,4.272,2.832,5.614,3.986,-20.89735285398626
0,5.219,4.045,5.513,4.801,-8.422064766172813
0,1.469,1.469,2.783,2.762,-11.60964047443681
0,2.645,1.069,3.378,1.657,12.0
0,6.275,4.491,9.104,7.246,-44.405276617693104
0,2.956,2.199,3.427,3.150,-20.89735285398626
0,5.132,2.929,6.176,4.744,-14.03677461028802
0,2.802,1.461,3.138,2.036,7.924812503605781
0,7.442,5.886,13.632,12.693,-5.0
0,2.918,1.998,4.158,3.424,-7.0
0,0.335,0.120,0.436,0.314,20.756589711823786
0,3.589,1.790,6.596,5.976,-33.68825906469125
0,3.936,2.186,5.507,3.729,-20.89735285398626
0,2.746,1.522,3.105,2.234,-13.0
0,3.625,3.625,6.806,6.788,-27.863137138648348
0,1.219,0.382,2.859,2.501,-4.0
0,3.986,3.083,5.207,4.969,-9.0
0,5.251,2.319,6.267,5.040,-22.18947501009619
0,1.532,1.206,2.494,2.454,2.0
0,5.085,4.196,8.680,8.545,-25.84962500721156
0,2.528,1.383,4.187,2.792,-25.3594000115385
0,4.125,2.324,4.666,3.173,-12.0
0,3.160,1.448,3.788,1.861,-20.60451250937503
0,2.144,1.059,3.975,3.031,-15.849625007211563
0,0.850,0.217,1.278,0.901,0.0
0,4.110,2.265,4.494,2.533,-10.0
0,1.552,0.546,1.727,0.775,-17.43458750793272
0,1.777,1.150,2.615,1.958,-4.0
0,4.322,2.945,6.779,5.206,-22.0
0,0.778,0.475,0.908,0.749,-8.422064766172813
0,4.411,3.312,10.046,8.720,-33.60451250937503
0,1.445,0.664,1.721,1.215,-15.849625007211563
0,5.041,2.574,6.819,4.845,-38.053747805010275
0,3.024,0.768,5.373,3.299,-6.339850002884625
0,4.943,3.376,9.146,8.704,-41.20902501875006
0,6.016,4.495,10.267,8.012,-25.3594000115385
0,4.949,3.225,5.580,4.095,-31.019550008653873
0,5.402,3.778,7.163,5.149,-23.21928094887362
0,3.666,2.512,5.435,3.480,6.0
0,2.885,2.592,3.434,3.230,-25.3594000115385
0,4.380,2.458,5.802,3.787,3.0
